Borough,Creation Date,Latitude,Longitude
Manhattan,01/15/2013 7:34:13 AM,,
Manhattan,06/29/2021 8:43:34 PM,40.76876179,-73.99243661
Manhattan,10/21/2011 5:54:03 PM,40.70851005,-74.01106961
Brooklyn,03/30/2017 9:30:50 PM,40.63702382,-73.95270558
Queens,03/17/2015 6:44:05 PM,40.75989553,-73.9171611
Brooklyn,08/08/2014 1:26:20 PM,40.57506926,-73.98587835
Bronx,12/25/2018 8:18:32 AM,40.83267093,-73.89055553
Brooklyn,02/14/2022 7:45:22 AM,40.63208005,-73.91859988
Bronx,01/09/2020 3:28:10 AM,40.845231,-73.92709575
Brooklyn,01/28/2021 4:22:30 AM,40.75421004,-73.94938988
Bronx,07/15/2018 12:38:55 AM,40.86916184,-73.8889394
Queens,05/22/2015 8:13:08 AM,40.76149178,-73.8270733
Queens,09/26/2015 12:27:32 PM,40.75692371,-73.86555924
Brooklyn,01/18/2018 3:25:28 PM,40.69501625,-73.92129827
Staten Island,09/06/2021 11:53:59 AM,40.62833401,-74.15684601
Manhattan,04/19/2012 4:34:10 PM,40.7649874,-73.97875171
Queens,10/30/2012 4:56:33 AM,40.66419358,-73.84111645
Brooklyn,07/25/2019 9:05:45 AM,40.61788339,-73.96172574
Brooklyn,01/15/2016 3:54:20 AM,40.69292361,-73.95100073
Queens,03/06/2013 4:50:15 AM,40.65713462,-73.85401446
Bronx,12/29/2015 1:57:37 PM,40.73388298,-74.03116876
Brooklyn,12/02/2012 10:10:34 AM,40.57454002,-73.99088562
Brooklyn,06/08/2020 11:26:29 AM,40.65699995,-74.00514257
Brooklyn,11/19/2017 2:05:10 AM,,
Manhattan,09/23/2015 2:51:27 PM,40.74777121,-73.99082222
Staten Island,05/30/2021 6:25:41 AM,40.62406499,-74.08835103
Brooklyn,03/26/2015 10:33:12 AM,40.63786354,-73.95845272
Bronx,10/04/2019 8:39:33 PM,40.84228477,-73.91246178
Queens,12/30/2014 6:38:10 AM,,
Brooklyn,02/18/2017 7:52:16 PM,40.57584728,-73.97102661
Brooklyn,02/11/2021 4:20:35 PM,40.73674006,-73.95866991
Manhattan,08/22/2020 1:13:07 PM,40.77491424,-73.97905791
Bronx,09/17/2016 3:56:07 AM,40.87647619,-73.84787309
Staten Island,11/29/2016 6:49:45 AM,40.52609318,-74.18029751
Manhattan,02/14/2017 9:13:41 AM,40.71442154,-74.00607638
Bronx,02/12/2016 7:25:31 AM,40.83270661,-73.90505145
Brooklyn,07/09/2018 1:24:36 PM,40.61961767,-74.01180649
Bronx,07/01/2015 6:03:02 PM,40.87645944,-73.8635023
Brooklyn,04/25/2022 11:42:34 AM,40.63565355,-73.95039756
Bronx,04/24/2018 5:50:05 AM,40.86420309,-73.89149696
Queens,09/07/2021 8:06:17 PM,40.73831609,-73.8467766
Brooklyn,09/05/2018 10:01:35 AM,,
Manhattan,11/07/2021 3:00:13 PM,40.80800556,-73.96202049
Bronx,04/13/2018 3:38:49 PM,40.89555958,-73.84757349
Long Island City,02/15/2018 6:02:35 PM,40.7520254,-73.94673431
Manhattan,03/02/2019 10:18:00 PM,40.76838184,-73.98477416
Bronx,05/07/2011 3:52:02 PM,40.81978738,-73.91215848
Manhattan,06/07/2019 2:11:25 PM,40.743873,-73.971702
